Good\0.bmp  1  0 0 256 300
Good\1.bmp  1  0 0 218 288
Good\10.bmp  1  0 0 214 304
Good\100.bmp  1  0 0 183 270
Good\101.bmp  1  0 0 196 239
Good\102.bmp  1  0 0 222 250
Good\103.bmp  1  0 0 227 270
Good\104.bmp  1  0 0 214 285
Good\105.bmp  1  0 0 192 292
Good\106.bmp  1  0 0 201 283
Good\107.bmp  1  0 0 209 280
Good\108.bmp  1  0 0 223 288
Good\109.bmp  1  0 0 233 341
Good\11.bmp  1  0 0 182 310
Good\110.bmp  1  0 0 222 353
Good\111.bmp  1  0 0 225 263
Good\112.bmp  1  0 0 208 282
Good\113.bmp  1  0 0 224 280
Good\114.bmp  1  0 0 221 304
Good\115.bmp  1  0 0 221 304
Good\116.bmp  1  0 0 203 309
Good\117.bmp  1  0 0 234 307
Good\118.bmp  1  0 0 223 314
Good\119.bmp  1  0 0 223 289
Good\12.bmp  1  0 0 216 323
Good\120.bmp  1  0 0 223 289
Good\121.bmp  1  0 0 220 269
Good\122.bmp  1  0 0 283 334
Good\123.bmp  1  0 0 198 282
Good\124.bmp  1  0 0 215 301
Good\125.bmp  1  0 0 238 281
Good\126.bmp  1  0 0 265 328
Good\127.bmp  1  0 0 265 328
Good\128.bmp  1  0 0 229 292
Good\129.bmp  1  0 0 235 286
Good\13.bmp  1  0 0 239 316
Good\130.bmp  1  0 0 311 325
Good\131.bmp  1  0 0 311 325
Good\132.bmp  1  0 0 248 308
Good\133.bmp  1  0 0 268 281
Good\134.bmp  1  0 0 190 312
Good\135.bmp  1  0 0 226 260
Good\136.bmp  1  0 0 237 314
Good\137.bmp  1  0 0 238 272
Good\138.bmp  1  0 0 233 272
Good\139.bmp  1  0 0 237 314
Good\14.bmp  1  0 0 231 293
Good\140.bmp  1  0 0 222 333
Good\141.bmp  1  0 0 196 274
Good\142.bmp  1  0 0 225 293
Good\143.bmp  1  0 0 201 287
Good\144.bmp  1  0 0 181 283
Good\145.bmp  1  0 0 242 311
Good\146.bmp  1  0 0 181 283
Good\147.bmp  1  0 0 215 298
Good\148.bmp  1  0 0 196 281
Good\149.bmp  1  0 0 193 285
Good\15.bmp  1  0 0 225 285
Good\150.bmp  1  0 0 243 324
Good\151.bmp  1  0 0 196 257
Good\152.bmp  1  0 0 215 273
Good\153.bmp  1  0 0 215 273
Good\154.bmp  1  0 0 210 320
Good\155.bmp  1  0 0 180 253
Good\156.bmp  1  0 0 227 267
Good\157.bmp  1  0 0 221 265
Good\158.bmp  1  0 0 194 251
Good\159.bmp  1  0 0 212 267
Good\16.bmp  1  0 0 220 315
Good\160.bmp  1  0 0 212 267
Good\161.bmp  1  0 0 204 279
Good\162.bmp  1  0 0 213 284
Good\163.bmp  1  0 0 247 264
Good\164.bmp  1  0 0 253 267
Good\165.bmp  1  0 0 237 292
Good\166.bmp  1  0 0 264 282
Good\167.bmp  1  0 0 224 276
Good\168.bmp  1  0 0 243 281
Good\169.bmp  1  0 0 281 276
Good\17.bmp  1  0 0 212 341
Good\170.bmp  1  0 0 224 239
Good\171.bmp  1  0 0 325 349
Good\172.bmp  1  0 0 267 334
Good\173.bmp  1  0 0 370 446
Good\174.bmp  1  0 0 198 257
Good\175.bmp  1  0 0 276 395
Good\176.bmp  1  0 0 332 343
Good\177.bmp  1  0 0 332 343
Good\178.bmp  1  0 0 230 298
Good\179.bmp  1  0 0 384 501
Good\18.bmp  1  0 0 203 334
Good\180.bmp  1  0 0 421 495
Good\181.bmp  1  0 0 421 512
Good\182.bmp  1  0 0 427 490
Good\183.bmp  1  0 0 447 500
Good\184.bmp  1  0 0 491 503
Good\185.bmp  1  0 0 429 540
Good\186.bmp  1  0 0 180 248
Good\187.bmp  1  0 0 429 540
Good\188.bmp  1  0 0 415 537
Good\189.bmp  1  0 0 229 276
Good\19.bmp  1  0 0 203 334
Good\190.bmp  1  0 0 469 554
Good\191.bmp  1  0 0 453 549
Good\192.bmp  1  0 0 456 566
Good\193.bmp  1  0 0 449 597
Good\194.bmp  1  0 0 472 670
Good\195.bmp  1  0 0 499 573
Good\196.bmp  1  0 0 438 566
Good\197.bmp  1  0 0 447 559
